Gene	zoneI_1	zoneI_2	zoneI_3	zoneIId_1	zoneIId_2	zoneIId_3	zoneIIp_1	zoneIIp_2	zoneIIp_3	zoneIZ_1	zoneIZ_2	zoneIZ_3	zoneIII_1	zoneIII_2	zoneIII_3
smc02484	144.507729383517	73.0823317103613	97.2399967455475	330.617501571377	228.655251366323	264.564887203657	814.375154521152	427.337549481995	610.572060883164	430.97963397612	481.662966536948	471.648054150962	42.4687609638464	49.0821152522041	39.1352727720463
smc02485	100.495950692307	142.307540358231	162.298185044354	321.122179826105	314.573566681959	233.635658767654	497.981035931856	1673.49484099779	510.877416916978	207.181923496875	280.635063212797	321.607866362255	11.6678822009235	28.5561263963441	13.3512930807
smc02486	100.896332965981	81.6425729545231	54.3149304530907	247.604391214442	247.571228697294	254.113684635735	269.484693853435	569.253656169165	335.960366535858	125.565412190264	151.169946656473	279.318585456348	25.381130205993	30.1631195650627	41.5882754741755
smc02487	67.7591426741439	102.804109422669	109.429144163685	219.980077445451	212.10043827118	179.18839220267	509.596931724815	737.089015991573	417.600706094992	458.470493860717	537.831786291279	528.784136752502	46.2188618019191	52.1961102968627	52.108169938629
smc02488	73.2406221626452	296.321613599402	245.324762997636	133.137751060037	144.441333168975	160.181568620394	53.2763171406613	79.5929716466006	46.555483614962	30.8941256227	31.1240877921639	39.2838326062955	26.9276124572727	20.6669459113644	21.1239264264743
smc02489	12.7517520515918	51.5918575316851	54.9166064198419	33.9011886762641	15.7908181276559	32.6101735198356	8.96282638432343	37.773224827309	11.5915216366883	1.92358133966592	3.41849116276132	1.17999755866907	1.85064596842442	1.35878849166894	1.30317060048664
smc02490	132.452822042162	117.894949752844	85.5630598978604	139.498699574333	120.281106281998	134.462698173602	122.888225015855	105.687501072428	77.6066027406118	80.5871927143932	66.5182597363165	68.0245140738394	83.0421239488321	82.5655887816889	66.0560274337046
smc02491	57.5194214864468	33.2451100123058	35.3875341822862	76.4591701780375	75.7501565254216	77.6865097680375	68.4812448103785	75.2145418790688	69.9040574181385	54.332747035022	60.7981204409909	65.3922332999489	65.3507406075086	81.4294344043705	68.8591624368753
smc02492	0	8.75738709896808	0	4.42654574037215	2.97821128219606	6.70953686717364	11.0843569372721	1.44409071585115	7.16458125242021	8.70708271356473	7.93031514014254	4.33976879910514	19.4763879815415	19.0282649929485	13.2722913464947
smc02493	0	0	0	2.16878497329791	0	1.64366795112922	3.40754691538958	1.69807652014658	1.04784620432156	1.06650824695045	0.758137738609043	0.327118251188829	1.23128405135374	0.753365143622143	0
smc02494	49.6568226950222	33.4841271431132	62.373420134693	61.7763515825467	40.994202354934	73.7555707090044	56.6746877773092	101.264737786245	59.8579062318092	34.3321551849197	37.7173524957999	53.0983476596393	48.2844419314687	54.3826230636259	46.6872366188459
smc02495	169.966305868868	183.376159387788	152.49493896785	153.517953781028	152.008703363094	136.104531416324	120.886443107833	163.47785335315	160.239595225295	103.624875960829	115.936560020647	149.416200935633	18.9113661176042	26.66356432813	23.449199308488
smc02496	72.5484209933885	72.2513382515127	60.0839468652523	39.3736268863204	36.8568412534444	48.8688777660328	41.9144039320381	82.0592297741526	42.0718794514517	17.1172458480364	22.1416983360095	25.9066409801142	28.1849547568364	23.0925175943111	23.8392346331595
smc02497	252.790177240539	223.146487966446	49.4847460752296	171.538689512335	259.28274992186	270.695108089419	139.373925490755	186.437091039542	154.404226898868	128.843293488894	129.786026010956	228.605788373914	52.0290137344266	59.9950740827002	44.6223588373527
smc02498	958.441730620078	2043.26285020902	1825.67740032426	1025.25758108882	1828.47866908452	2142.51040791298	2563.60988933497	1697.21017979678	2810.2127868981	2829.49295157208	3408.06750149821	2917.9733661232	108.068026847855	159.739728880859	110.756981498477
smc02499	612.43414657194	308.053969716642	249.493680538772	435.819466643994	299.485422759657	251.410293199389	671.786181806111	375.463586121299	266.580292781008	326.051437422844	370.073788017613	351.77655324511	23.5416682053927	46.298719635249	25.7118114712485
smc02500	672.471209039368	602.033255481602	492.94635186353	751.987592470341	360.262608831073	270.542173000103	975.202386413397	1072.17127101214	415.063603201176	456.485413746856	471.530833913593	515.255600639516	12.8742225640698	23.3773034736173	19.593501292876
smc02501	426.262032441428	405.787837853174	251.963914999552	451.24470240467	330.050681996243	288.227753291581	700.425485719363	756.243141828276	464.362693929953	454.729549934412	493.537158994546	463.281061306451	7.52058545821901	22.4137318818829	9.73739394826984
smc02502	345.099302377355	279.244984853888	371.550561988333	418.016253406842	310.464478002514	160.459207153634	567.217259179975	634.391776172874	340.716090142552	380.421479407516	399.471833980673	314.837944010552	16.1809309767524	28.2867289775106	14.1070266513056
smc02503	296.857076661026	124.245871937664	121.231627308798	24.0740391821776	30.9859168972218	35.6969599895607	4.72807464583815	2.868335399229	10.0130726295905	547.401954581398	432.850069547595	529.192179189182	1162.63324668127	1366.18383808783	1289.44548551714
smc02504	0	88.1388637057432	58.636763628928	72.3954416247962	89.9227664559843	78.0795298333191	73.8256031305977	113.729131409	62.9600081941134	43.8162872037451	62.2944660575792	62.5766662322579	7.1136443095953	7.25417727003902	10.5750192341425
smc02505	53.3157464725501	53.9270679252245	200.908069065432	96.7666196454513	91.6975578991946	135.31193626733	198.612458854972	308.216081722837	189.644721038139	227.203303729025	225.351255543326	235.58092312616	29.0161807365071	27.4589699611161	23.1566556913841
smc02506	83.3058538633595	67.4088349065306	14.9485170435589	56.7879223271428	78.3249973722287	128.038489311484	326.224978745953	206.381464608122	303.727873537645	380.487341852011	373.451417803808	459.958390484103	12.8960803273365	13.5618116726058	13.90534471664
smc02507	44.2744398154918	23.8837829971857	15.8893328015452	57.3438880002756	73.1015496539034	108.648750405937	296.669553321106	92.7500082498944	369.359924946684	451.556235613989	423.331124166146	480.940461844885	13.7077217465395	16.2500334650524	14.1772203019375
smc02508	67.641505273668	54.7336693685505	72.8261086737487	100.98057470224	87.4849564145093	135.239102478969	422.183595110804	789.917621570579	509.674408870863	491.133884312011	576.640292964633	591.710784339527	9.81672781327699	23.3048194989395	11.6132549281828
smc02509	163.739092076258	66.2466136150387	44.0723519732514	252.534911486695	135.174848282433	90.9366378737893	694.360204540346	676.016522490057	668.302081894122	1291.24957639458	1212.23896071091	1276.53738048678	38.417256535476	96.2038358430714	55.4990588039574
smc02510	147.581466051639	95.5351319887427	31.7786656030903	60.3619873687112	44.6731692329409	57.1835528452299	77.6497731969327	211.887492307614	48.9952367872427	47.4931784376258	46.4213569179076	32.3206557415872	4.28366304579359	4.19355702323934	4.22300179206648
